#,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,Alone,People I didn't know,How many people did you live with in that period?,Bored,Stressed,Free,Optimistic,Peaceful,Lonely,Disappointed,Frustrated,Threatened,Before covid,During covid,Bored,Stressed,Excited,Hopeful,Peaceful,Lonely,Vulnerable,Disappointed,Anxious,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Proud,Optimistic,Indifferent,Vulnerable,Disappointed,Hostile,Threatened,Anxious,Free,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,Peaceful,Lonely,Vulnerable,Disappointed,Frustrated,Anxious,Threatened,What were the priorities in your life *before* COVID-19?,What were the priorities in your life *during* COVID-19?,What is your main source of income?,Bored,Stressed,Free,Proud,Optimistic,Lonely,Disappointed,Frustrated,Anxious,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free,Aggresive,Frustrated,Disappointed,Vulnerable,Lonely,Optimistic,enthusiastic,stressed,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,Other,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?,utm_source,Start Date (UTC),Submit Date (UTC),Network ID
q0ai7ora82kmxpoj4q0ai7frhkslvys3,Work,,,Pets,,,,,,,,,,,Disappointed,,,Monthly,Monthly,,,,,,Lonely,Vulnerable,,,,,1,1,,,1,1,,,,,,,,,Disappointed,,,,,,"Yes, in 2020",,,,,,,,,,,Threatened,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,Frustrated,,,,,,,"No, it didn’t change",,2,2,2,2,3,3,3,3,6,Food & Consumer Goods,,Male,,24-30,I'm from New York State,Black or African American,Frustrated,nywhatsapp,2022-06-22 18:38:13,2022-06-22 18:40:24,57606fe08b
qyskz0ny7sp9btuqyskcwmd891n2lqzy,Work,,,,,Alone,,,,,,,,,,,,Weekly,Weekly,,,Excited,,,,,Disappointed,,,1,1,1,,,,1,1,,,,,,Indifferent,,Disappointed,,,,,,"Yes, in 2020",,,,,,,,,,,Threatened,"Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family","Mental health,Physical health,Relationships,Career & Finances,Spirituality,Family",,,,,,,,,,,,,,,,,,,,Self - employed,1,,,,,Vulnerable,,,,,"Yes, my company went out of business",Financial reasons," 1"," 1"," 1"," 1",2,2," 1"," 1",6,Consumer Services & Retail,,Female,,30-40,I'm from New York State,White,Stressed,nywhatsapp,2022-06-22 18:35:48,2022-06-22 18:38:01,57606fe08b
55kx9jozey63omv8jmo655kx9joiyx8i,Study,Family,,,,,,2,Bored,Stressed,,,,,,,,Daily,Weekly,,,,,,Lonely,,Disappointed,,5,5,5,5,5,5,5,3,3,3,5,4,,,Indifferent,,Disappointed,Hostile,,,,,,,"Yes, in 2022",,,,,,,,Anxious,,"Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality","Physical health,Mental health,Career & Finances,Relationships,Spirituality,Family",Job,,,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,5,5,5,10,,Information and Computing Sciences,Female,,20-24,I'm from somewhere else in the US,Asian,Stressed,nywhatsapp,2022-06-22 18:25:42,2022-06-22 18:28:56,d3063b8837
1yx26mvgulbmwe4zjdgvef1yx26m8fb4,Study,,,,Roommates,,,2,,,,Optimistic,Peaceful,,,,,Daily,Daily,,,,,,Lonely,,,,5,5,5,3,3,4,4,4,4,4,3,3,,Optimistic,,,,,,,,No,,,,,,,,,,,,,"Career & Finances,Physical health,Family,Mental health,Relationships,Spirituality","Physical health,Career & Finances,Relationships,Family,Mental health,Spirituality",Family,Bored,,Free,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,3,2,2,5,4,3,3,3,,Biological Sciences,Male,,20-24,I'm from somewhere else in the US,Asian,Stressed,nywhatsapp,2022-06-22 18:23:06,2022-06-22 18:28:39,700beda80c
ovokii2iequle8l2ovo0t8jr98is7ipt,Study,,,Pets,Roommates,,,,,,,Optimistic,,,,,,Daily,Daily,,,,,,Lonely,Vulnerable,,,5,5,5,5,5,5,4,4,4,4,4,4,,,,,Disappointed,,,Anxious,,No,,,,,,,,,,,,,"Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality","Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality",Family,,,,,Optimistic,,,,,Yes because I changed my field of study,,,,,Better Career Prospects,,,,,,,,,,,,,,,,,3,3," 1"," 1",3,3," 1",2,5,,Engineering and Technology,Female,,24-30,I come from abroad,Asian,Optimistic,nywhatsapp,2022-06-22 18:07:13,2022-06-22 18:12:22,7e76d38bf7
3a2zijsceyvpnkjlz3a2zmrh0l06gimw,Study,,,Pets,Roommates,,,,Bored,Stressed,,,,,,Frustrated,,Weekly,Daily,,,,,,,,Disappointed,,5,4,4,5,5,5,5,4,4,5,4,4,,,,,,,,Anxious,,No,,,,,,,,,,,,,"Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality","Physical health,Mental health,Career & Finances,Relationships,Spirituality,Family",Job,,,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,5,4,5,2,4,,Mathematical Sciences,Not-binary,,24-30,I come from abroad,Asian,Distant,nywhatsapp,2022-06-22 17:59:06,2022-06-22 18:10:33,db8137733d
t0j6to2q2gzl7proieyct0j6to2vikld,Study,Family,Friends,Pets,Roommates,Alone,,,,,,,,,,,,Once per year,Weekly,,Stressed,,Hopeful,Peaceful,,,,,5,4,5,5,5,4,5,3,5,5,5,3,,,,Vulnerable,,,,,,No,,,,,,,,,,,,,"Physical health,Career & Finances,Mental health,Family,Relationships,Spirituality","Physical health,Career & Finances,Mental health,Relationships,Family,Spirituality",Family,Bored,Stressed,,,,,,,Anxious,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,4,4,2,5,4,4,3,3,,Engineering and Technology,Female,,20-24,I come from abroad,Asian,Frustrated,nywhatsapp,2022-06-22 17:50:57,2022-06-22 18:03:57,90edda8ba6
4p62mhqriq7uqxuqz3l7s4p62mhgxalg,Work,Family,,,,Alone,,,,,,,,,,,,Daily,Daily,Bored,,,,,Lonely,,Disappointed,,5,3,2,5,5,5,5,3,2,5,5,5,,,,,Disappointed,,Threatened,Anxious,,No,,,,,,,,,,,,,"Career & Finances,Relationships,Mental health,Family,Spirituality,Physical health","Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality",,,,,,,,,,,,,,,,,,,,Fixed term employed,0,Free,,,,,,Optimistic,enthusiastic,,"Yes, due to smartworking",Work environment,4,4,3,5,5,4,3,5,8,Other / I prefer not to answer,,Male,,20-24,I come from abroad,Asian,Optimistic,nywhatsapp,2022-06-22 17:53:36,2022-06-22 18:01:18,eb8ae26763
esl51jkigmnyzpwqesl511c4bcblg5oh,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Weekly,,,,,Peaceful,,,,,5,4,4,4,4,4,5,4,4,5,4,4,,,Indifferent,,Disappointed,,,,,No,,,,,,,,,,,,,"Family,Mental health,Relationships,Physical health,Spirituality,Career & Finances","Family,Mental health,Relationships,Physical health,Spirituality,Career & Finances",Loan,Bored,,,Proud,,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,4,4,2,4,4,3,2,8,,Biological Sciences,Male,,20-24,I come from abroad,Asian,Optimistic,nywhatsapp,2022-06-22 17:43:09,2022-06-22 17:49:51,857da1c717
u07k9avsjm03gq9321u07kuf1i8fq3qb,Study,,,,Roommates,,,1,,Stressed,,,Peaceful,,,,,Daily,Daily,,,,,,Lonely,,Disappointed,,2,3,3,3,2,2,2,3,3,3,3,3,,,,,,Hostile,,,,No,,,,,,,,,,,,,"Mental health,Family,Physical health,Relationships,Career & Finances,Spirituality","Physical health,Relationships,Mental health,Career & Finances,Spirituality,Family",Family,,,,,,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,3,3,3,1,,Agricultural and Veterinary Sciences,Female,,20-24,I come from abroad,Asian,Stressed,nywhatsapp,2022-06-22 17:43:55,2022-06-22 17:47:20,25c2fc9b3e
x8mpnjqr8mbkka423x8mpn6kpcuti4qi,Study,,,,Roommates,,,2,,,,,,Lonely,,,,Weekly,Weekly,,,Excited,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,Vulnerable,,,,,,No,,,,,,,,,,,,,"Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality","Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality",Family,,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,9,,Economics,Female,,20-24,I come from abroad,Asian,Frustrated,nywhatsapp,2022-06-22 17:31:06,2022-06-22 17:43:42,abab59ba4f
bckz5irh9cm9lsq7ibckz59ajngxg11v,Work,Family,Friends,Pets,,Alone,People I didn't know,,,,,,,,,,,Weekly,Daily,,Stressed,,,,Lonely,,,Anxious,5,5,5,5,5,5,5,4,5,5,,5,,,,,Disappointed,Hostile,Threatened,,,No,,,,,,,,,,,,,"Career & Finances,Relationships,Mental health,Family,Physical health,Spirituality","Career & Finances,Family,Mental health,Physical health,Relationships,Spirituality",,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,Frustrated,,Vulnerable,,,,stressed,"Yes, my contract ended",Mental health reasons,4,2,3,2,5,4,3,2,7,Education,,Female,,30-40,I'm from somewhere else in the US,White,Anxious,,2022-06-21 23:07:47,2022-06-22 17:36:42,4d53b43451
92k5unbxi8r6earkf93fqjj5lcopk725,Study,,Friends,Pets,,,,,Bored,Stressed,,,,,Disappointed,,,Weekly,Daily,,Stressed,,,,Lonely,,Disappointed,,3,4,4,3,3,3,3,3,3,3,3,3,,Optimistic,,,,,,,,No,,,,,,,,,,,,,"Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality","Mental health,Family,Physical health,Relationships,Career & Finances,Spirituality",Family,Bored,Stressed,,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,4,4,3,4,7,,Built Environment and Design,Female,,20-24,I'm from New York State,Asian,Optimistic,nywhatsapp,2022-06-22 17:24:45,2022-06-22 17:28:54,f9b6c5b268
wx9u77982y5spmhvdn0jzwx9u7kf7wfc,Study,,Friends,Pets,Roommates,,,,,,Free,,Peaceful,,,,,Weekly,Daily,Bored,,,,,Lonely,,,,5,2,3,5,5,4,5,1,1,5,5,2,,,Indifferent,,,,,,,No,,,,,,,,,,,,,"Family,Relationships,Career & Finances,Physical health,Mental health,Spirituality","Family,Relationships,Physical health,Career & Finances,Mental health,Spirituality",Other / I prefer not to answer,Bored,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,5,5,5,3,9,,Information and Computing Sciences,Male,,20-24,I come from abroad,Asian,Stressed,nywhatsapp,2022-06-22 17:13:43,2022-06-22 17:19:39,cc5cfca70e
07xclqefrfnjhu07xclq5kjn2ss4nwuv,Work,,,,,Alone,,,,,,,,,,,,Weekly,Daily,,,,,Peaceful,,,,,5,2,4,4,4,4,5,2,3,4,4,4,,,Indifferent,,,,,,,,,"Yes, in 2021",,,,,,,Disappointed,,,,"Mental health,Physical health,Family,Career & Finances,Relationships,Spirituality","Mental health,Physical health,Family,Career & Finances,Relationships,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,1,Free,,,,,Lonely,,,,"No, it didn’t change",,4,4,4,3,4,4,4,4,8,Real Estate,,Male,,30-40,I come from abroad,White,Lonely,nywhatsapp,2022-06-22 14:21:34,2022-06-22 14:38:26,cc2a61bec1
8q1qu30vq71wognpwd8q4sw62v59yttj,Work,,,,Roommates,,,1,,,,Optimistic,Peaceful,,,,,Weekly,Weekly,,,Excited,Hopeful,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,Hostile,,,,No,,,,,,,,,,,,,"Career & Finances,Physical health,Mental health,Relationships,Family,Spirituality","Career & Finances,Relationships,Physical health,Mental health,Spirituality,Family",,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,,,Vulnerable,,,,,"Yes, I was fired",Work environment,4,4,5,2,5,5,5,4,9,Education,,Female,,30-40,I come from abroad,White,Vulnerable,nywhatsapp,2022-06-22 03:07:10,2022-06-22 03:12:51,c3d5173c15
xuzjz184pdhvsrplw13fbxuzjz1wnh04,Study,,,,,Alone,,,,,,,,,,,,Daily,Daily,,,Excited,Hopeful,,,,,,5,5,5,4,5,4,5,4,4,4,5,4,,,Indifferent,,Disappointed,,,,,No,,,,,,,,,,,,,"Family,Relationships,Physical health,Career & Finances,Spirituality,Mental health","Physical health,Family,Career & Finances,Relationships,Mental health,Spirituality",Job,,,Free,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,3," 1",5,5,4,2,7,,Information and Computing Sciences,Male,,20-24,I come from abroad,Asian,Vulnerable,nywhatsapp,2022-06-22 00:50:31,2022-06-22 00:55:46,68fd9900f4
89rg1lumj3e5289d600j8qpqzg54as50,Work,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,,Stressed,,,,,,,Anxious,5,4,4,4,5,4,5,4,4,4,5,4,,,Indifferent,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,"Family,Relationships,Mental health,Physical health,Spirituality,Career & Finances","Family,Mental health,Physical health,Relationships,Spirituality,Career & Finances",,,,,,,,,,,,,,,,,,,,Business owner,0,,,Frustrated,,,,Optimistic,,stressed,"No, it didn’t change",,5,4,4,3,5,4,4,3,6,Other / I prefer not to answer,,Female,,50-60,I'm from somewhere else in the US,White,Anxious,nywhatsapp,2022-06-22 00:41:09,2022-06-22 00:50:58,4f27374124
jl6y5lk1wluya1cdwoujl6y5ykof3te2,Study,,,Pets,Roommates,,,,,,Free,Optimistic,,,,,,Daily,Daily,,,,,Peaceful,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,,Threatened,,,No,,,,,,,,,,,,,"Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",Family,,,,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,3,2," 1",2,3,3," 1",3,5,,Engineering and Technology,Female,,24-30,I come from abroad,Asian,Vulnerable,nywhatsapp,2022-06-22 00:38:10,2022-06-22 00:48:10,c9e54f2e95
sykf6q2map3no8jzbdlx6hsykf6q2avt,Both,Family,,,,,,3,,,,Optimistic,,,,,,Weekly,Monthly,,Stressed,Excited,,,,,,,5,4,4,4,5,4,4,3,3,4,4,4,,,,,Disappointed,,,Anxious,,,,"Yes, in 2021",,,,,Lonely,Vulnerable,,Frustrated,,,"Career & Finances,Mental health,Relationships,Family,Physical health,Spirituality","Career & Finances,Mental health,Family,Physical health,Relationships,Spirituality",Job,Bored,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,5,5,4,4,2,,Built Environment and Design,Not-binary,,20-24,I'm from New York State,White,Anxious,nywhatsapp,2022-06-21 20:57:51,2022-06-21 21:06:37,83250c6d1b
k5t3q01814m59o1h87k5t3q07tmdfm4s,Work,,,,,Alone,,,,,,,,,,,,Daily,Daily,,,,,,Lonely,,Disappointed,,5,,4,5,5,5,5,2,3,5,5,3,,,,,,,Threatened,,,No,,,,,,,,,,,,,"Physical health,Family,Mental health,Career & Finances,Relationships,Spirituality","Physical health,Family,Mental health,Career & Finances,Relationships,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,,,,,,,stressed,"No, it didn’t change",,4,3,3,3,5,3,4,3,4,Financials,,Female,,24-30,I'm from New York State,White,Vulnerable,nywhatsapp,2022-06-21 20:58:46,2022-06-21 21:05:22,4381fe081e
s4q1vf8oari7s4q1vcyjjk3th6hsfhn5,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,Free,,"Yes, in 2020",,,,,,Lonely,,,Frustrated,Anxious,,"Career & Finances,Family,Physical health,Mental health,Relationships,Spirituality","Family,Career & Finances,Physical health,Mental health,Relationships,Spirituality",Other / I prefer not to answer,,,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,8,,Engineering and Technology,Female,,20-24,I come from abroad,Asian,Free,nywhatsapp,2022-06-21 20:52:21,2022-06-21 20:55:35,cedab89077
vgdnslr0zr21akakbvgdnkbfl1q66kuu,Work,Family,,,,,,4,,,,,Peaceful,,,,,Weekly,Monthly,,Stressed,,,,,,,,2,1,1,1,1,3,2,1,1,1,1,1,,,,Vulnerable,,,,,,,,"Yes, in 2021",,,,Peaceful,,,,,,,"Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family","Relationships,Family,Career & Finances,Spirituality,Physical health,Mental health",,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,,,,,"No, it didn’t change",,4,4,4,4,4,4,4,4,8,Information Technology,,Male,,24-30,I come from abroad,Other / I prefer not to answer,Free,nywhatsapp,2022-06-21 20:25:42,2022-06-21 20:31:01,636f032f29
msod9pmrgre80mvjbhmsoduyagoaxl1h,Study,,Friends,Pets,,,,,,,Free,Optimistic,Peaceful,,,,,Weekly,Weekly,,Stressed,,,,Lonely,,Disappointed,,5,3,4,5,5,5,5,3,5,5,5,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,"Physical health,Family,Mental health,Relationships,Spirituality,Career & Finances","Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances",Family,Bored,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,,Engineering and Technology,Male,,20-24,I come from abroad,Asian,Peaceful,nymail,2022-06-21 20:09:29,2022-06-21 20:15:39,400f22587d
